Date,Open,High,Low,Close,Adj Close,Volume
2021-03-23,150.820007,152.039993,145.429993,146.470001,144.947571,765200
2021-03-24,148.029999,151.100006,146.559998,146.630005,145.105927,1039800
2021-03-25,145.429993,149.300003,141.940002,148.929993,147.381989,964200
2021-03-26,151.000000,151.000000,146.639999,150.399994,148.836716,722500
2021-03-29,149.619995,149.619995,145.399994,146.410004,144.888199,758800
2021-03-30,146.199997,146.570007,143.820007,145.389999,143.878784,1348000
2021-03-31,147.130005,148.470001,145.699997,146.110001,144.591309,1990000
2021-04-01,148.190002,151.820007,147.539993,150.740005,149.173187,1126200
2021-04-05,153.470001,153.839996,149.000000,150.220001,148.658615,776000
2021-04-06,149.509995,153.699997,149.050003,152.889999,151.300858,888000
2021-04-07,152.589996,152.889999,143.259995,143.699997,142.206375,1292200
2021-04-08,144.940002,146.850006,144.270004,146.169998,144.650711,852600
2021-04-09,146.199997,147.500000,144.820007,147.320007,145.788742,638900
2021-04-12,147.350006,148.330002,145.639999,147.710007,146.174713,793000
2021-04-13,148.029999,149.270004,145.940002,148.580002,147.035660,1061900
2021-04-14,148.729996,154.479996,148.229996,152.929993,151.340439,1104600
2021-04-15,154.029999,154.320007,149.110001,150.509995,148.945587,1036700
2021-04-16,151.839996,153.000000,150.899994,152.029999,150.449783,727900
2021-04-19,155.440002,159.759995,154.789993,157.500000,155.862930,1259300
2021-04-20,156.050003,156.330002,146.779999,148.520004,146.976288,1072200
2021-04-21,147.860001,153.139999,146.520004,153.050003,151.459183,690300
2021-04-22,156.000000,159.869995,153.630005,155.800003,154.180588,1417900
2021-04-23,156.050003,167.860001,154.669998,161.229996,159.554169,1576800
2021-04-26,162.750000,171.960007,162.000000,170.570007,168.797089,1351300
2021-04-27,169.000000,171.600006,167.460007,169.750000,167.985611,948800
2021-04-28,168.750000,170.649994,167.179993,169.399994,167.639236,594000
2021-04-29,171.029999,171.869995,164.369995,167.619995,165.877731,771700
2021-04-30,165.399994,169.050003,165.199997,168.169998,166.422028,1372300
2021-05-03,169.509995,169.990005,165.470001,165.990005,164.264679,652000
2021-05-04,163.509995,163.919998,158.539993,162.110001,160.425018,949100
2021-05-05,165.979996,168.580002,163.589996,167.149994,165.412613,991400
2021-05-06,157.740005,159.130005,150.000000,152.850006,151.261292,2553600
2021-05-07,154.460007,163.130005,154.000000,162.720001,161.028671,1115900
2021-05-10,163.389999,165.139999,159.190002,159.479996,157.822342,1127000
2021-05-11,155.649994,160.899994,153.679993,160.500000,158.831741,600900
2021-05-12,158.500000,159.500000,154.089996,154.600006,152.993073,1022300
2021-05-13,158.050003,160.720001,155.250000,157.690002,156.050949,681900
2021-05-14,159.130005,164.990005,158.860001,163.809998,162.107346,820200
2021-05-17,162.500000,163.809998,155.490005,157.789993,156.149887,1032500
2021-05-18,158.949997,161.899994,156.919998,159.350006,157.693710,904900
2021-05-19,155.000000,157.750000,152.580002,156.979996,155.348328,735800
2021-05-20,156.660004,158.300003,154.440002,157.990005,156.347870,721700
2021-05-21,159.440002,162.270004,158.850006,159.580002,157.921310,1082800
2021-05-24,160.550003,160.800003,154.229996,159.589996,157.931198,553500
2021-05-25,160.440002,161.770004,157.479996,158.020004,156.377533,801200
2021-05-26,158.020004,162.240005,157.979996,162.199997,160.514099,573900
2021-05-27,164.020004,169.699997,162.369995,168.559998,166.807968,2357400
2021-05-28,168.490005,169.160004,165.220001,167.080002,165.343353,749800
2021-06-01,170.000000,173.789993,169.500000,171.429993,169.648148,1281300
2021-06-02,171.039993,172.240005,168.740005,170.360001,168.589249,649900
2021-06-03,168.949997,170.000000,165.779999,168.169998,166.422028,537600
2021-06-04,169.059998,173.839996,168.899994,173.539993,171.736206,634100
2021-06-07,174.000000,174.210007,168.529999,170.779999,169.004898,758600
2021-06-08,171.300003,177.580002,170.649994,176.009995,174.180542,819800
2021-06-09,175.369995,176.070007,173.470001,174.369995,172.557571,914300
2021-06-10,174.289993,174.289993,167.339996,167.779999,166.408264,786300
2021-06-11,168.919998,170.389999,167.559998,170.179993,168.788651,680800
2021-06-14,169.630005,170.389999,167.210007,168.339996,166.963669,473600
2021-06-15,168.500000,168.729996,162.949997,166.029999,164.672577,998100
2021-06-16,165.089996,166.410004,162.759995,165.279999,163.928711,706100
2021-06-17,164.149994,164.910004,159.169998,163.869995,162.530243,1231700
2021-06-18,160.460007,162.649994,157.820007,157.970001,156.678482,1348200
2021-06-21,159.929993,162.520004,159.449997,161.410004,160.090347,1026900
2021-06-22,161.399994,162.419998,158.919998,161.580002,160.258957,803500
2021-06-23,162.679993,165.850006,162.679993,163.669998,162.331894,701100
2021-06-24,166.289993,166.289993,163.009995,165.970001,164.613068,840600
2021-06-25,167.940002,169.860001,166.100006,166.770004,165.406540,1648700
2021-06-28,167.830002,170.949997,165.970001,169.050003,167.667892,670700
2021-06-29,170.000000,170.529999,166.850006,167.539993,166.170212,606000
2021-06-30,166.660004,168.600006,166.369995,168.460007,167.082703,589300
2021-07-01,170.000000,172.240005,169.369995,172.029999,170.623505,677000
2021-07-02,172.139999,172.520004,169.889999,170.649994,169.254791,501300
2021-07-06,171.000000,171.160004,166.570007,168.559998,167.181885,665800
2021-07-07,168.000000,171.600006,166.789993,170.039993,168.649780,741100
2021-07-08,165.690002,168.449997,163.199997,167.910004,166.537186,731500
2021-07-09,170.500000,176.320007,169.500000,175.509995,174.075058,1314100
